clusterID	sample0	sample1	sample2	sample3	sample4
0	0.927617	1	0.915949	0.927795	0.917994
1	0.970111	0.996573	0.906786	0.981682	0.977895
2	0.655	0.831081	0.0836686	0.056791	0.767723
3	0.0690225	0.736464	0.0497308	0.0337573	0.0509535
4	0.0484723	0.697305	0.0281646	0.0220741	0.0360653
5	0.620766	0.0105787	0.0207777	0.0143891	0.659115
6	0.0148366	0.670572	0.0136488	0.010466	0.0110105
7	0.278003	0.0399146	0.565712	0.846962	0.228087
8	0.0263501	0.176316	0.357482	0.0500135	0.021776
9	0.241115	0.0345004	0.492236	0.830919	0.213374
10	0.149963	0.0209589	0.0516487	0.702199	0.12846
11	0.0125326	0.0944899	0.305075	0.0441539	0.00880113
12	0.0193166	0.0105402	0.0169824	0.157486	0.011386
