clusterID	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14
0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	0.9087	0.062822	0.0699377	0.949761	0.199602	0.108231	0.926188	0.0400648	0.0440749	0.950836	0.0540163	0.0583243	0.833389	0.0430141	0.0322323
2	0.890528	0.0512476	0.0597854	0.939261	0.185918	0.0915426	0.91117	0.0332011	0.0364251	0.940516	0.0446303	0.0470294	0.800561	0.0356829	0.0278886
3	0.86996	0.0354568	0.0485773	0.929723	0.104364	0.0746448	0.896754	0.0215874	0.0269555	0.927185	0.0281455	0.0357687	0.763603	0.0245093	0.0200096
4	0.789826	0.0222956	0.0278227	0.833635	0.0240113	0.046299	0.877277	0.0128044	0.0172258	0.748689	0.0167749	0.0245061	0.69913	0.0151218	0.00921232
5	0.0255175	0.0112499	0.0103674	0.0613577	0.0109659	0.0169918	0.303092	0.00695356	0.00779151	0.143079	0.00780532	0.0114359	0.135496	0.0072501	0.00437915
6	0.0710324	0.925365	0.919597	0.0396851	0.789736	0.874376	0.0603738	0.953348	0.947499	0.0386506	0.936629	0.928351	0.136802	0.949125	0.963583
7	0.0169929	0.808341	0.029508	0.00953587	0.682596	0.0324904	0.0160064	0.739692	0.045882	0.00961337	0.729562	0.0426803	0.0304827	0.671911	0.0814186
8	0.0352589	0.0971534	0.88074	0.0198783	0.0852591	0.825314	0.0304287	0.187486	0.890746	0.0198026	0.161347	0.87409	0.0726501	0.255791	0.864369
9	0.0170726	0.024472	0.811175	0.0102178	0.0418413	0.772519	0.0147275	0.053555	0.607098	0.0104266	0.0416275	0.585431	0.0389761	0.0971446	0.550569
