mutID	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	clusterID
mut0	0.957355	1	1	1	1	1	0.980147	0.917009	0.997597	0.999128	1	1	1	1	1	0
mut1	0.957355	1	1	1	1	1	0.980147	0.917009	0.997597	0.999128	1	1	1	1	1	0
mut2	0.957355	1	1	1	1	1	0.980147	0.917009	0.997597	0.999128	1	1	1	1	1	0
mut3	0.957355	1	1	1	1	1	0.980147	0.917009	0.997597	0.999128	1	1	1	1	1	0
mut4	0.957355	1	1	1	1	1	0.980147	0.917009	0.997597	0.999128	1	1	1	1	1	0
mut5	0.455911	0.016172	0.0078938	0.00964364	0.00908298	0.711118	0.016267	0.0100707	0.0140533	0.0226371	0.654746	0.0180104	0.024535	0.0140617	0.0342856	1
mut6	0.455911	0.016172	0.0078938	0.00964364	0.00908298	0.711118	0.016267	0.0100707	0.0140533	0.0226371	0.654746	0.0180104	0.024535	0.0140617	0.0342856	1
mut7	0.455911	0.016172	0.0078938	0.00964364	0.00908298	0.711118	0.016267	0.0100707	0.0140533	0.0226371	0.654746	0.0180104	0.024535	0.0140617	0.0342856	1
mut8	0.455911	0.016172	0.0078938	0.00964364	0.00908298	0.711118	0.016267	0.0100707	0.0140533	0.0226371	0.654746	0.0180104	0.024535	0.0140617	0.0342856	1
mut9	0.455911	0.016172	0.0078938	0.00964364	0.00908298	0.711118	0.016267	0.0100707	0.0140533	0.0226371	0.654746	0.0180104	0.024535	0.0140617	0.0342856	1
mut10	0.515225	1	0.912912	1	1	0.245089	0.990684	0.893879	1	0.950426	0.31126	1	0.986265	0.885858	0.870166	2
mut11	0.515225	1	0.912912	1	1	0.245089	0.990684	0.893879	1	0.950426	0.31126	1	0.986265	0.885858	0.870166	2
mut12	0.515225	1	0.912912	1	1	0.245089	0.990684	0.893879	1	0.950426	0.31126	1	0.986265	0.885858	0.870166	2
mut13	0.515225	1	0.912912	1	1	0.245089	0.990684	0.893879	1	0.950426	0.31126	1	0.986265	0.885858	0.870166	2
mut14	0.515225	1	0.912912	1	1	0.245089	0.990684	0.893879	1	0.950426	0.31126	1	0.986265	0.885858	0.870166	2
mut15	0.397857	0.883079	0.958313	0.959036	0.992036	0.239286	0.953917	0.999596	1	0.930591	0.294385	0.90083	0.939906	0.9898	0.92526	3
mut16	0.397857	0.883079	0.958313	0.959036	0.992036	0.239286	0.953917	0.999596	1	0.930591	0.294385	0.90083	0.939906	0.9898	0.92526	3
mut17	0.397857	0.883079	0.958313	0.959036	0.992036	0.239286	0.953917	0.999596	1	0.930591	0.294385	0.90083	0.939906	0.9898	0.92526	3
mut18	0.397857	0.883079	0.958313	0.959036	0.992036	0.239286	0.953917	0.999596	1	0.930591	0.294385	0.90083	0.939906	0.9898	0.92526	3
mut19	0.397857	0.883079	0.958313	0.959036	0.992036	0.239286	0.953917	0.999596	1	0.930591	0.294385	0.90083	0.939906	0.9898	0.92526	3
mut20	0.348567	1	0.960407	0.852641	0.958958	0.190367	0.941201	0.968409	0.921252	0.842969	0.290722	0.85437	0.88552	0.867578	0.943041	4
mut21	0.348567	1	0.960407	0.852641	0.958958	0.190367	0.941201	0.968409	0.921252	0.842969	0.290722	0.85437	0.88552	0.867578	0.943041	4
mut22	0.348567	1	0.960407	0.852641	0.958958	0.190367	0.941201	0.968409	0.921252	0.842969	0.290722	0.85437	0.88552	0.867578	0.943041	4
mut23	0.348567	1	0.960407	0.852641	0.958958	0.190367	0.941201	0.968409	0.921252	0.842969	0.290722	0.85437	0.88552	0.867578	0.943041	4
mut24	0.348567	1	0.960407	0.852641	0.958958	0.190367	0.941201	0.968409	0.921252	0.842969	0.290722	0.85437	0.88552	0.867578	0.943041	4
mut25	0.0494035	0.147697	0.19394	0.0127175	0.00853359	0.0258989	0.820362	0.248119	0.0160646	0.0249229	0.0367966	0.843749	0.343668	0.0127984	0.312835	5
mut26	0.0494035	0.147697	0.19394	0.0127175	0.00853359	0.0258989	0.820362	0.248119	0.0160646	0.0249229	0.0367966	0.843749	0.343668	0.0127984	0.312835	5
mut27	0.0494035	0.147697	0.19394	0.0127175	0.00853359	0.0258989	0.820362	0.248119	0.0160646	0.0249229	0.0367966	0.843749	0.343668	0.0127984	0.312835	5
mut28	0.0494035	0.147697	0.19394	0.0127175	0.00853359	0.0258989	0.820362	0.248119	0.0160646	0.0249229	0.0367966	0.843749	0.343668	0.0127984	0.312835	5
mut29	0.0494035	0.147697	0.19394	0.0127175	0.00853359	0.0258989	0.820362	0.248119	0.0160646	0.0249229	0.0367966	0.843749	0.343668	0.0127984	0.312835	5
mut30	0.255983	0.726877	0.782341	0.601208	1	0.143653	0.129763	0.676134	0.859519	0.85294	0.204768	0.0940504	0.119334	0.834307	0.192071	6
mut31	0.255983	0.726877	0.782341	0.601208	1	0.143653	0.129763	0.676134	0.859519	0.85294	0.204768	0.0940504	0.119334	0.834307	0.192071	6
mut32	0.255983	0.726877	0.782341	0.601208	1	0.143653	0.129763	0.676134	0.859519	0.85294	0.204768	0.0940504	0.119334	0.834307	0.192071	6
mut33	0.255983	0.726877	0.782341	0.601208	1	0.143653	0.129763	0.676134	0.859519	0.85294	0.204768	0.0940504	0.119334	0.834307	0.192071	6
mut34	0.255983	0.726877	0.782341	0.601208	1	0.143653	0.129763	0.676134	0.859519	0.85294	0.204768	0.0940504	0.119334	0.834307	0.192071	6
mut35	0.0524432	0.646771	0.685946	0.0124456	0.0177018	0.0269459	0.0833977	0.575279	0.0163025	0.490101	0.031964	0.0331275	0.0236262	0.0113121	0.0443617	7
