clusterID	sample0	sample1	sample2	sample3	sample4
0	1	0.901282	1	0.994415	1
1	0.0227028	0.0123674	0.0205809	0.396276	0.212192
2	0.880099	0.814659	0.913025	0.479698	0.0421131
3	0.924591	0.897538	0.830051	0.450913	0.0421569
4	0.764345	0.86289	0.0554523	0.372012	0.0144185
5	0.903187	0.937556	0.0285733	0.154235	0.0116567
6	0.748245	0.122468	0.00898095	0.0391431	0.00358003
7	0.0693683	0.581581	0.00889352	0.0286069	0.00414248
8	0.086727	0.100014	0.0846688	0.149826	0.648136
9	0.00891324	0.00762327	0.480894	0.0305427	0.0255085
10	0.0301866	0.0195948	0.0290895	0.0782682	0.559523
11	0.0196558	0.0157358	0.0177531	0.0590404	0.532672
12	0.00983885	0.00753067	0.00850677	0.292318	0.138256
13	0.0104818	0.00722948	0.00846608	0.0328471	0.38038
14	0.0439725	0.0711429	0.0474197	0.0270447	0.170205
