clusterID	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
0	0.973327	1	0.905733	1	1	0.976813	1	0.922492	1	1
1	0.148511	0.00654424	0.0654161	0.00538072	0.0122879	0.381764	0.054959	0.0151643	0.0243178	0.0252781
2	0.75902	0.924703	0.930449	0.897353	0.938728	0.274531	0.797324	0.981762	0.961847	0.887584
3	0.619875	0.971041	0.828686	0.914516	0.217431	0.218857	0.67945	0.974936	0.865021	0.863681
4	0.534429	0.767446	0.674643	0.996148	0.0830281	0.094626	0.749208	0.878869	0.857438	0.930502
5	0.341815	0.0569957	0.548833	1	0.0609751	0.057689	0.376503	0.881164	0.835535	0.105175
6	0.090208	0.0334421	0.171006	0.00683431	0.0122143	0.0131895	0.265469	0.0156953	0.0494748	0.615497
7	0.263792	0.0210252	0.272609	0.273338	0.0439897	0.0445042	0.28017	0.695094	0.778383	0.0841666
8	0.0806381	0.00796502	0.0491395	0.00662015	0.0127495	0.0147543	0.0668227	0.0338078	0.0327318	0.0415794
9	0.0771499	0.00619649	0.056757	0.00574046	0.0130657	0.0176662	0.0711997	0.0330544	0.442907	0.0219421
10	0.0864733	0.00789869	0.0494978	0.00606156	0.230239	0.0145755	0.0576816	0.0124726	0.0194453	0.0503228
