clusterID	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
0	1	1	1	0.99309	1	1	1	1	0.904636	0.925067
1	0.939516	0.894432	1	1	1	1	0.894029	0.882011	0.925979	0.959731
2	0.10677	0.130495	0.0559652	0.596722	0.0366946	0.0375441	0.0753058	0.149289	0.866549	0.107336
3	0.755821	0.027704	0.0149682	0.0383744	0.00797857	0.935413	0.0146009	0.0346373	0.0083872	0.0210766
4	0.136997	0.785576	0.595103	0.268598	0.935001	0.0593593	0.777373	0.43244	0.0546408	0.822379
5	0.103976	0.74662	0.12548	0.202374	0.972158	0.0335149	0.778723	0.159495	0.0414581	0.721541
6	0.0195485	0.215936	0.0116411	0.0396994	0.114567	0.00653197	0.856773	0.0345829	0.0105164	0.02389
7	0.0606224	0.520982	0.0340435	0.117823	0.759635	0.0205996	0.0539597	0.0974061	0.0264787	0.770078
8	0.0407145	0.397578	0.0213223	0.0870225	0.522093	0.0137938	0.0363001	0.0665722	0.0187019	0.709234
9	0.0811821	0.118466	0.0421065	0.501995	0.0331798	0.0285093	0.0667426	0.127481	0.820938	0.083363
10	0.0205252	0.0255091	0.168919	0.0494956	0.00661425	0.00808521	0.0160796	0.256334	0.0750014	0.022265
11	0.0588737	0.0877062	0.0318753	0.498841	0.0238619	0.0220016	0.0456029	0.0973742	0.774249	0.0602136
12	0.0397234	0.0530446	0.0212364	0.454257	0.0152445	0.0151721	0.0323446	0.0554306	0.831412	0.0364414
13	0.0209576	0.0285645	0.00986174	0.14522	0.00726031	0.00689143	0.0158975	0.0346004	0.644872	0.0184242
14	0.0196914	0.0371681	0.00838114	0.041046	0.0221783	0.00808931	0.0161216	0.0342119	0.00895604	0.225838
