mutID	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	clusterID
mut0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
mut1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
mut2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
mut3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
mut4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
mut5	0.993588	0.992285	0.991757	0.993079	0.991417	0.993834	0.993033	0.990105	0.993751	0.993343	0.990617	0.993188	0.99266	0.993015	0.992845	1
mut6	0.993588	0.992285	0.991757	0.993079	0.991417	0.993834	0.993033	0.990105	0.993751	0.993343	0.990617	0.993188	0.99266	0.993015	0.992845	1
mut7	0.993588	0.992285	0.991757	0.993079	0.991417	0.993834	0.993033	0.990105	0.993751	0.993343	0.990617	0.993188	0.99266	0.993015	0.992845	1
mut8	0.993588	0.992285	0.991757	0.993079	0.991417	0.993834	0.993033	0.990105	0.993751	0.993343	0.990617	0.993188	0.99266	0.993015	0.992845	1
mut9	0.993588	0.992285	0.991757	0.993079	0.991417	0.993834	0.993033	0.990105	0.993751	0.993343	0.990617	0.993188	0.99266	0.993015	0.992845	1
mut10	0.985609	0.97776	0.978822	0.970414	0.981189	0.953557	0.986226	0.970167	0.962871	0.951575	0.981008	0.98542	0.974864	0.984227	0.98427	2
mut11	0.985609	0.97776	0.978822	0.970414	0.981189	0.953557	0.986226	0.970167	0.962871	0.951575	0.981008	0.98542	0.974864	0.984227	0.98427	2
mut12	0.985609	0.97776	0.978822	0.970414	0.981189	0.953557	0.986226	0.970167	0.962871	0.951575	0.981008	0.98542	0.974864	0.984227	0.98427	2
mut13	0.985609	0.97776	0.978822	0.970414	0.981189	0.953557	0.986226	0.970167	0.962871	0.951575	0.981008	0.98542	0.974864	0.984227	0.98427	2
mut14	0.985609	0.97776	0.978822	0.970414	0.981189	0.953557	0.986226	0.970167	0.962871	0.951575	0.981008	0.98542	0.974864	0.984227	0.98427	2
