clusterID	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14
0	0.910879	1	1	0.957059	0.989101	1	0.965517	1	1	1	0.906809	1	0.985233	1	1
1	0.937121	0.91298	0.917694	0.938516	0.997167	1	0.350467	1	1	0.938609	0.977827	0.934526	0.982808	0.875006	0.784604
2	0.921591	0.869056	0.904629	0.856264	1	0.959464	0.322368	0.979665	1	0.924079	0.851297	0.906001	0.994639	0.861532	0.835742
3	0.0410651	0.314591	0.222382	0.59417	0.112653	0.0716281	0.141466	0.881597	0.0676975	0.060745	0.133405	0.922652	0.0473259	0.0714745	0.374918
4	0.0279714	0.264463	0.175532	0.586104	0.093498	0.0625133	0.133604	0.914603	0.0422058	0.0457703	0.0884533	0.815981	0.0330081	0.0555058	0.287779
5	0.969272	0.580461	0.545149	0.207451	0.842501	0.807729	0.120658	0.0735907	0.890603	0.817766	0.820958	0.0671531	0.933267	0.799943	0.315758
6	0.348389	0.0400181	0.0466077	0.054106	0.550104	0.0171131	0.0259101	0.0185063	0.249283	0.0444503	0.141875	0.0153129	0.0765164	0.0489357	0.0774333
7	0.0478908	0.547091	0.176091	0.105075	0.150698	0.780797	0.0610555	0.0369609	0.0612796	0.800044	0.278745	0.035704	0.0521362	0.681212	0.140025
8	0.00763219	0.518245	0.0429622	0.0592213	0.0465476	0.0206245	0.0270194	0.0237271	0.01007	0.46088	0.0260863	0.0184838	0.00846178	0.129359	0.0646367
9	0.0225835	0.237167	0.146237	0.54239	0.0721149	0.0436737	0.0993049	0.856088	0.0232901	0.0355995	0.0724388	0.838132	0.025761	0.0457894	0.226357
10	0.0146007	0.168115	0.100596	0.39809	0.0459956	0.0319772	0.0673105	0.637044	0.0154976	0.0259813	0.0516092	0.7509	0.0171581	0.026869	0.153382
11	0.00731595	0.0206269	0.0653448	0.050808	0.0232248	0.0138643	0.639637	0.0147355	0.00892926	0.0126111	0.0295159	0.0177731	0.00719175	0.0147019	0.0793283
12	0.00706191	0.0316714	0.0469178	0.209716	0.0230269	0.0162991	0.0322875	0.120994	0.00991999	0.010893	0.0277706	0.309457	0.00708136	0.0142258	0.0851787
