clusterID	sample0	sample1	sample2	sample3	sample4
0	1	0.964978	1	1	0.906083
1	0.6313	0.767125	0.0711047	0.0822317	0.957309
2	0.188536	0.0185752	0.0902245	0.0969896	0.0151401
3	0.0268655	0.0204544	0.0429091	0.038862	0.250923
4	0.142043	0.0569275	0.484342	0.697895	0.0432682
5	0.102937	0.0393059	0.0742942	0.253498	0.030461
6	0.15592	0.010482	0.00641012	0.0900203	0.00916061
7	0.0948603	0.029954	0.0352432	0.219129	0.0234641
8	0.0161342	0.792331	0.0052744	0.00500079	0.0724045
9	0.0158435	0.078268	0.305274	0.0450221	0.00849592
10	0.0145135	0.0107687	0.140772	0.40174	0.00730196
11	0.0774309	0.0208189	0.0108256	0.182575	0.0139401
12	0.621117	0.0502121	0.0163947	0.0312957	0.653178
13	0.0167604	0.0261164	0.0057023	0.00430697	0.448108
14	0.088427	0.0108547	0.00526927	0.0181081	0.0759757
15	0.0141688	0.011369	0.0377168	0.0236247	0.167238
16	0.0619829	0.00817406	0.00524769	0.137997	0.00690039
