clusterID	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
0	0.902216	1	1	1	0.934722	1	0.98284	0.944069	0.919986	0.962763
1	1	0.914981	0.988577	0.951055	0.907745	1	0.933682	1	0.949	0.893854
2	0.824275	0.825152	1	1	0.962895	1	0.440125	0.90783	0.960936	0.949543
3	0.0479356	0.14453	0.0301695	0.0489914	0.0101815	0.0200773	0.0153308	0.694816	0.0200514	0.0141602
4	0.116746	0.719499	0.945665	0.629363	0.934175	0.858727	0.0923629	0.141151	1	0.129298
5	0.055933	0.639175	0.807218	0.0805818	0.0882988	0.789952	0.0243882	0.123058	0.96457	0.0231752
6	0.151193	0.0399667	0.0135	0.0194372	0.00505064	0.00829495	0.496761	0.0420249	0.006222	0.0129488
7	0.0232757	0.10266	0.0156462	0.0235474	0.00527447	0.01096	0.00763263	0.575342	0.0130696	0.00625675
8	0.0191832	0.322199	0.526354	0.0228317	0.00689938	0.0118272	0.00936513	0.0237606	0.603122	0.00701896
9	0.617171	0.0218082	0.0152309	0.144278	0.00452259	0.010676	0.382373	0.00966309	0.00615852	0.777892
10	0.0386898	0.051108	0.038144	0.23052	0.912959	0.157266	0.0532967	0.0228005	0.021989	0.0843267
11	0.0204822	0.0232285	0.0192001	0.0292672	0.607753	0.145242	0.00767374	0.0103517	0.0120161	0.00883239
12	0.0209002	0.0423477	0.184029	0.0220403	0.0750721	0.751865	0.00727954	0.0115252	0.136463	0.00769916
