clusterID	sample0	sample1	sample2	sample3	sample4
0	1	0.929989	0.986824	1	1
1	0.354041	0.0215528	0.0508888	0.0734132	0.034642
2	0.30428	0.792034	0.849928	0.823099	0.878283
3	0.0798437	0.670947	0.606021	0.74837	0.695686
4	0.0477329	0.0986038	0.0505756	0.056423	0.0364677
5	0.292041	0.009787	0.023927	0.0516588	0.0283593
6	0.025492	0.116229	0.108465	0.75445	0.687322
7	0.0973853	0.0569668	0.194786	0.0216936	0.00786287
8	0.0183994	0.0390599	0.09867	0.773103	0.717762
9	0.323516	0.105853	0.0763441	0.0135181	0.127639
10	0.102954	0.0745976	0.0722271	0.0508652	0.058242
11	0.0048593	0.01129	0.0224116	0.0928349	0.027632
12	0.00455061	0.0104886	0.0238	0.0267127	0.611151
13	0.0039978	0.0116739	0.368024	0.00621774	0.00725457
14	0.28506	0.0609846	0.0524389	0.0063918	0.0862989
15	0.0334246	0.0923713	0.0239094	0.0306291	0.0290811
16	0.00686393	0.0101708	0.0211749	0.0444153	0.0735257
