clusterID	sample0	sample1	sample2	sample3	sample4
0	0.940057	0.922529	1	1	1
1	0.172265	0.0423385	0.61699	0.0238239	0.129463
2	0.839089	1	0.423519	0.988443	0.766986
3	0.342713	0.671733	0.288405	0.0969674	0.341055
4	0.276593	0.761444	0.245084	0.0892941	0.25826
5	0.248396	0.724769	0.226698	0.0729067	0.241673
6	0.137667	0.43215	0.0688546	0.0164012	0.153199
7	0.0912369	0.272382	0.0475664	0.0552668	0.0622304
8	0.116026	0.0332129	0.5477	0.0155112	0.100866
9	0.094166	0.430379	0.0331487	0.012326	0.109287
10	0.401345	0.0930138	0.0806317	0.633185	0.374965
11	0.041174	0.174864	0.0334775	0.0412167	0.0334085
12	0.244765	0.0183331	0.0352188	0.177051	0.267706
13	0.0790428	0.0231266	0.506794	0.0109468	0.0629669
14	0.0561793	0.11783	0.0142167	0.00539817	0.0766904
15	0.044515	0.0102033	0.457843	0.00531115	0.0309626
16	0.0535031	0.00984329	0.0164906	0.19011	0.0450567
17	0.0377335	0.0615478	0.0168059	0.273161	0.0289818
18	0.0378587	0.110641	0.0144322	0.221819	0.0903034
19	0.201488	0.00936052	0.015649	0.101603	0.232648
