clusterID	sample0	sample1	sample2	sample3	sample4
0	1	1	1	1	1
1	0.04741	0.879832	0.0169918	0.0184128	0.0692735
2	0.738293	0.079276	0.0706619	0.0336787	0.891905
3	0.718535	0.0707263	0.0648853	0.0245328	0.860609
4	0.032793	0.867235	0.0119856	0.0119249	0.0614349
5	0.016156	0.506396	0.00592809	0.00593614	0.0105153
6	0.198679	0.0336933	0.907074	0.941767	0.0325003
7	0.166536	0.018236	0.890473	0.346926	0.0187669
8	0.055497	0.00927895	0.546683	0.104744	0.00764327
9	0.0176197	0.00797141	0.0101944	0.478445	0.00695647
