clusterID	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
0	0.980004	0.948982	1	0.94606	1	1	0.948557	0.927705	1	0.913604
1	0.991244	0.658548	0.246971	0.117005	0.963073	0.912344	0.03784	0.235044	0.846345	0.874034
2	0.540636	0.00759685	0.0116428	0.00821676	0.130862	0.0396328	0.00603188	0.0074235	0.0686935	0.00667193
3	0.285562	0.673704	0.221211	0.098173	0.728992	0.834973	0.0216778	0.246805	0.669557	0.846075
4	0.190812	0.642534	0.0336294	0.0890667	0.0486971	0.803544	0.0144456	0.256256	0.539464	0.902277
5	0.0181311	0.392275	0.0100277	0.0836896	0.0122955	0.158125	0.00542537	0.186406	0.0254634	0.486675
6	0.0550253	0.26605	0.649052	0.868644	0.0704965	0.065166	0.172274	0.725305	0.104278	0.0334273
7	0.0439085	0.27591	0.682145	0.876776	0.0476406	0.0475448	0.140894	0.772049	0.0794144	0.0285179
8	0.0255384	0.278589	0.047703	0.761556	0.0275587	0.0368495	0.0487049	0.671897	0.0584721	0.0243868
9	0.0222441	0.0162114	0.0551408	0.0162939	0.031138	0.0267928	0.829408	0.0158855	0.0471523	0.0104046
10	0.0120354	0.00707504	0.0387412	0.00845499	0.0152695	0.0146251	0.691847	0.00700385	0.0270043	0.00623357
11	0.0113052	0.147931	0.0105883	0.831569	0.0118555	0.0147082	0.00835067	0.639286	0.0265204	0.012842
