clusterID	sample0	sample1	sample2	sample3	sample4
0	0.963297	0.945023	0.908656	0.96352	0.913665
1	0.366976	0.781407	0.578601	0.15126	0.200544
2	0.352053	0.0191586	0.0276508	0.0860944	0.0163728
3	0.0133615	0.331092	0.021844	0.0707658	0.0137987
4	0.320232	0.415086	0.529305	0.0734345	0.155995
5	0.277226	0.334891	0.209404	0.0521259	0.139407
6	0.236123	0.281197	0.205646	0.0528042	0.121432
7	0.0427864	0.0778055	0.101591	0.275853	0.730451
8	0.065933	0.0772226	0.0583239	0.0270022	0.0118656
9	0.0317686	0.0377897	0.314832	0.00863543	0.0244895
10	0.0154637	0.0194105	0.0261708	0.0863494	0.59077
11	0.0136341	0.0383071	0.0428257	0.157386	0.0480789
12	0.0120927	0.0956604	0.0689058	0.153621	0.0121144
13	0.197067	0.227676	0.102075	0.0197195	0.0842542
14	0.0125712	0.0178545	0.260735	0.00416063	0.0114903
15	0.152585	0.17911	0.08769	0.0140935	0.0773909
16	0.0755554	0.0169577	0.114084	0.155926	0.0132861
17	0.0919973	0.0174646	0.0815559	0.146902	0.0485814
18	0.0683657	0.0806682	0.0387301	0.00524599	0.0446811
19	0.0835103	0.0857727	0.023998	0.00490686	0.012426
