clusterID	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14
0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	0.94875	0.980722	0.982574	0.980245	0.988013	0.98611	0.989122	0.993244	0.973634	0.981277	0.993046	0.990901	0.993229	0.987774	0.984403
2	0.703236	0.15884	0.0708047	0.836674	0.928615	0.0750044	0.0502506	0.92758	0.850819	0.0740752	0.0744805	0.927679	0.959592	0.107344	0.056721
3	0.555311	0.0512092	0.0350952	0.0382738	0.845359	0.0287956	0.0227434	0.247051	0.761604	0.0338103	0.0139033	0.246724	0.903089	0.0225953	0.0293798
4	0.472102	0.0292278	0.0187747	0.018478	0.628352	0.0138768	0.0108649	0.0942395	0.557971	0.0176775	0.00672492	0.0758688	0.549748	0.0116	0.0143114
5	0.199201	0.802054	0.895706	0.124269	0.0492714	0.896594	0.926692	0.0595304	0.0962105	0.887957	0.908285	0.0531855	0.0274044	0.867868	0.913496
6	0.108262	0.765094	0.124084	0.0892927	0.0272325	0.867385	0.620481	0.0460739	0.0470527	0.781614	0.378077	0.0364452	0.0141131	0.840168	0.11756
7	0.0535245	0.608626	0.0353359	0.0276369	0.013597	0.781666	0.027872	0.0189302	0.0219484	0.424651	0.0632687	0.0136435	0.00703397	0.540105	0.0328028
8	0.0468375	0.0195917	0.740732	0.0179843	0.0105594	0.0151283	0.227631	0.0067623	0.0251554	0.0859236	0.304771	0.00836434	0.00673592	0.0141872	0.76988
9	0.0945896	0.089175	0.0176176	0.781249	0.0686272	0.033096	0.0156837	0.608929	0.0647018	0.0211153	0.0520406	0.538527	0.047523	0.0740298	0.0138326
