mutID	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	clusterID
mut0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
mut1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
mut2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
mut3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
mut4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
mut5	0.94875	0.980722	0.982574	0.980245	0.988013	0.98611	0.989122	0.993244	0.973634	0.981277	0.993046	0.990901	0.993229	0.987774	0.984403	1
mut6	0.94875	0.980722	0.982574	0.980245	0.988013	0.98611	0.989122	0.993244	0.973634	0.981277	0.993046	0.990901	0.993229	0.987774	0.984403	1
mut7	0.94875	0.980722	0.982574	0.980245	0.988013	0.98611	0.989122	0.993244	0.973634	0.981277	0.993046	0.990901	0.993229	0.987774	0.984403	1
mut8	0.94875	0.980722	0.982574	0.980245	0.988013	0.98611	0.989122	0.993244	0.973634	0.981277	0.993046	0.990901	0.993229	0.987774	0.984403	1
mut9	0.94875	0.980722	0.982574	0.980245	0.988013	0.98611	0.989122	0.993244	0.973634	0.981277	0.993046	0.990901	0.993229	0.987774	0.984403	1
mut10	0.703236	0.15884	0.0708047	0.836674	0.928615	0.0750044	0.0502506	0.92758	0.850819	0.0740752	0.0744805	0.927679	0.959592	0.107344	0.056721	2
mut11	0.703236	0.15884	0.0708047	0.836674	0.928615	0.0750044	0.0502506	0.92758	0.850819	0.0740752	0.0744805	0.927679	0.959592	0.107344	0.056721	2
mut12	0.703236	0.15884	0.0708047	0.836674	0.928615	0.0750044	0.0502506	0.92758	0.850819	0.0740752	0.0744805	0.927679	0.959592	0.107344	0.056721	2
mut13	0.703236	0.15884	0.0708047	0.836674	0.928615	0.0750044	0.0502506	0.92758	0.850819	0.0740752	0.0744805	0.927679	0.959592	0.107344	0.056721	2
mut14	0.703236	0.15884	0.0708047	0.836674	0.928615	0.0750044	0.0502506	0.92758	0.850819	0.0740752	0.0744805	0.927679	0.959592	0.107344	0.056721	2
mut15	0.555311	0.0512092	0.0350952	0.0382738	0.845359	0.0287956	0.0227434	0.247051	0.761604	0.0338103	0.0139033	0.246724	0.903089	0.0225953	0.0293798	3
mut16	0.555311	0.0512092	0.0350952	0.0382738	0.845359	0.0287956	0.0227434	0.247051	0.761604	0.0338103	0.0139033	0.246724	0.903089	0.0225953	0.0293798	3
mut17	0.555311	0.0512092	0.0350952	0.0382738	0.845359	0.0287956	0.0227434	0.247051	0.761604	0.0338103	0.0139033	0.246724	0.903089	0.0225953	0.0293798	3
mut18	0.555311	0.0512092	0.0350952	0.0382738	0.845359	0.0287956	0.0227434	0.247051	0.761604	0.0338103	0.0139033	0.246724	0.903089	0.0225953	0.0293798	3
mut19	0.555311	0.0512092	0.0350952	0.0382738	0.845359	0.0287956	0.0227434	0.247051	0.761604	0.0338103	0.0139033	0.246724	0.903089	0.0225953	0.0293798	3
mut20	0.472102	0.0292278	0.0187747	0.018478	0.628352	0.0138768	0.0108649	0.0942395	0.557971	0.0176775	0.00672492	0.0758688	0.549748	0.0116	0.0143114	4
mut21	0.472102	0.0292278	0.0187747	0.018478	0.628352	0.0138768	0.0108649	0.0942395	0.557971	0.0176775	0.00672492	0.0758688	0.549748	0.0116	0.0143114	4
mut22	0.472102	0.0292278	0.0187747	0.018478	0.628352	0.0138768	0.0108649	0.0942395	0.557971	0.0176775	0.00672492	0.0758688	0.549748	0.0116	0.0143114	4
mut23	0.472102	0.0292278	0.0187747	0.018478	0.628352	0.0138768	0.0108649	0.0942395	0.557971	0.0176775	0.00672492	0.0758688	0.549748	0.0116	0.0143114	4
mut24	0.472102	0.0292278	0.0187747	0.018478	0.628352	0.0138768	0.0108649	0.0942395	0.557971	0.0176775	0.00672492	0.0758688	0.549748	0.0116	0.0143114	4
mut25	0.199201	0.802054	0.895706	0.124269	0.0492714	0.896594	0.926692	0.0595304	0.0962105	0.887957	0.908285	0.0531855	0.0274044	0.867868	0.913496	5
mut26	0.199201	0.802054	0.895706	0.124269	0.0492714	0.896594	0.926692	0.0595304	0.0962105	0.887957	0.908285	0.0531855	0.0274044	0.867868	0.913496	5
mut27	0.199201	0.802054	0.895706	0.124269	0.0492714	0.896594	0.926692	0.0595304	0.0962105	0.887957	0.908285	0.0531855	0.0274044	0.867868	0.913496	5
mut28	0.199201	0.802054	0.895706	0.124269	0.0492714	0.896594	0.926692	0.0595304	0.0962105	0.887957	0.908285	0.0531855	0.0274044	0.867868	0.913496	5
mut29	0.199201	0.802054	0.895706	0.124269	0.0492714	0.896594	0.926692	0.0595304	0.0962105	0.887957	0.908285	0.0531855	0.0274044	0.867868	0.913496	5
mut30	0.108262	0.765094	0.124084	0.0892927	0.0272325	0.867385	0.620481	0.0460739	0.0470527	0.781614	0.378077	0.0364452	0.0141131	0.840168	0.11756	6
mut31	0.108262	0.765094	0.124084	0.0892927	0.0272325	0.867385	0.620481	0.0460739	0.0470527	0.781614	0.378077	0.0364452	0.0141131	0.840168	0.11756	6
mut32	0.108262	0.765094	0.124084	0.0892927	0.0272325	0.867385	0.620481	0.0460739	0.0470527	0.781614	0.378077	0.0364452	0.0141131	0.840168	0.11756	6
mut33	0.108262	0.765094	0.124084	0.0892927	0.0272325	0.867385	0.620481	0.0460739	0.0470527	0.781614	0.378077	0.0364452	0.0141131	0.840168	0.11756	6
mut34	0.108262	0.765094	0.124084	0.0892927	0.0272325	0.867385	0.620481	0.0460739	0.0470527	0.781614	0.378077	0.0364452	0.0141131	0.840168	0.11756	6
mut35	0.0535245	0.608626	0.0353359	0.0276369	0.013597	0.781666	0.027872	0.0189302	0.0219484	0.424651	0.0632687	0.0136435	0.00703397	0.540105	0.0328028	7
mut36	0.0535245	0.608626	0.0353359	0.0276369	0.013597	0.781666	0.027872	0.0189302	0.0219484	0.424651	0.0632687	0.0136435	0.00703397	0.540105	0.0328028	7
mut37	0.0535245	0.608626	0.0353359	0.0276369	0.013597	0.781666	0.027872	0.0189302	0.0219484	0.424651	0.0632687	0.0136435	0.00703397	0.540105	0.0328028	7
mut38	0.0535245	0.608626	0.0353359	0.0276369	0.013597	0.781666	0.027872	0.0189302	0.0219484	0.424651	0.0632687	0.0136435	0.00703397	0.540105	0.0328028	7
