clusterID	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
0	0.97148	1	1	0.994765	0.980148	0.949858	1	1	0.958693	0.991778
1	0.703862	1	0.893196	0.882277	0.874661	0.0943144	1	1	1	0.908619
2	0.693502	0.949371	0.936498	1	0.919378	0.0830327	1	1	0.971606	0.894011
3	0.0533692	0.662464	0.0258679	0.0407752	0.0411704	0.0220942	0.470188	0.0129145	0.0173821	0.0323
4	0.23935	0.0228014	0.0245913	0.0229255	0.0421855	0.961031	0.0231276	0.0196912	0.0160597	0.0256082
5	0.23173	0.0113576	0.0134663	0.00969605	0.0191065	0.837783	0.0110875	0.0120548	0.00700707	0.0139644
6	0.639923	0.255598	0.940869	0.968516	0.81557	0.0501642	0.473586	0.950348	0.881905	0.926685
7	0.0267961	0.728767	0.0119984	0.0324907	0.0195091	0.00968132	0.361056	0.00607203	0.00794857	0.0194116
8	0.0859813	0.210548	0.269912	0.868857	0.847145	0.0282178	0.417278	0.0339968	0.365335	0.896394
9	0.278636	0.0140279	0.565476	0.00945196	0.0222911	0.0102545	0.0121004	0.602278	0.170333	0.0182669
10	0.0255038	0.151164	0.0209569	0.666559	0.112685	0.00929939	0.0995801	0.00698776	0.0136503	0.147119
11	0.024792	0.0140036	0.153161	0.0251213	0.527543	0.0101421	0.0217802	0.010748	0.0296781	0.392331
