clusterID	sample0	sample1	sample2	sample3	sample4
0	1	1	1	1	1
1	0.56586	0.0287068	0.0253243	0.0463284	0.051809
2	0.541159	0.0135557	0.0156301	0.0217242	0.0283263
3	0.362439	0.79443	0.92757	0.880004	0.295456
4	0.331179	0.0835907	0.628526	0.760286	0.0746804
5	0.0177785	0.092195	0.00903329	0.0251094	0.308381
6	0.215981	0.027933	0.0434942	0.692785	0.0505436
7	0.0160524	0.191716	0.246186	0.0952815	0.191789
8	0.0239058	0.0142231	0.00878996	0.0875207	0.0248488
9	0.035648	0.0139349	0.0286551	0.0255464	0.321197
