clusterID	sample0	sample1	sample2	sample3	sample4
0	1	0.942988	1	0.976129	0.949207
1	0.155429	0.0824194	0.067577	0.0394609	0.386818
2	0.340059	0.871267	0.877699	0.650801	0.0817286
3	0.305896	0.817316	0.731151	0.685206	0.0828177
4	0.386993	0.00816739	0.0465974	0.0122452	0.00884433
5	0.102814	0.770652	0.0555831	0.616057	0.0228594
6	0.0308253	0.464606	0.0190765	0.145942	0.00792401
7	0.0834946	0.0796877	0.0941334	0.0932192	0.0383632
8	0.0608833	0.00709594	0.570097	0.0125689	0.00823684
9	0.0722342	0.0128355	0.0388691	0.112278	0.366292
10	0.106207	0.0714932	0.051489	0.0222559	0.274468
11	0.0481191	0.0627573	0.0398358	0.0546661	0.0313654
12	0.0282416	0.0516589	0.0187598	0.094852	0.133772
13	0.0374165	0.00604336	0.0179976	0.0788601	0.19487
14	0.0319169	0.106931	0.0162662	0.228627	0.00789151
15	0.0463004	0.0749285	0.0359898	0.0115389	0.170626
