clusterID	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
0	1	0.96333	1	1	1	0.935246	0.907291	0.943602	1	0.906288
1	0.914066	0.929664	1	1	0.893807	0.968297	1	1	0.963635	0.951478
2	0.837271	0.769274	1	0.906474	1	0.949415	0.483962	0.820814	0.997218	0.874027
3	0.539873	0.490651	0.0583382	0.100701	0.38236	0.141904	0.294694	0.599652	0.187809	0.144135
4	0.173676	0.374475	0.0390203	0.0662564	0.105706	0.0864063	0.230153	0.576256	0.0799131	0.0946984
5	0.302883	0.33701	0.90578	0.848148	0.501514	0.726559	0.152837	0.223581	0.782028	0.830751
6	0.121898	0.282535	0.0281199	0.043729	0.0842467	0.0694058	0.240644	0.487553	0.0619486	0.0691461
7	0.0349284	0.0563013	0.00914294	0.0160712	0.0269273	0.0233045	0.192893	0.0584355	0.0172713	0.0195587
8	0.180489	0.158657	0.571579	0.271716	0.38778	0.252061	0.0443666	0.079699	0.611597	0.393594
9	0.0322938	0.149914	0.00991419	0.0160619	0.0325798	0.0208746	0.0220359	0.228023	0.0205854	0.0207142
10	0.118922	0.100981	0.268697	0.0257443	0.0370002	0.12793	0.021315	0.0474698	0.13849	0.221564
11	0.0295141	0.0536975	0.159111	0.480877	0.0451489	0.382951	0.0194906	0.041029	0.10693	0.313487
12	0.368872	0.0603164	0.012556	0.0170742	0.192791	0.0240857	0.0222011	0.0665323	0.082639	0.0221295
13	0.0394375	0.0583271	0.0743889	0.018161	0.0320091	0.107342	0.0527469	0.0384542	0.0173965	0.0383757
14	0.0317568	0.0595787	0.0106854	0.0151695	0.0280749	0.0217929	0.45609	0.0349973	0.0192769	0.0228565
