clusterID	sample0	sample1	sample2	sample3	sample4
0	0.962986	1	1	0.97435	0.960051
1	0.432182	1	0.939942	0.768113	1
2	0.20458	0.519651	0.199188	0.0816139	0.19858
3	0.180111	0.509827	0.208647	0.0733307	0.194919
4	0.171347	0.541506	0.179811	0.0799402	0.191407
5	0.14232	0.513741	0.177185	0.0706797	0.180508
6	0.0752058	0.264004	0.281249	0.100431	0.0221179
7	0.049093	0.217751	0.248459	0.0951756	0.0138773
8	0.130234	0.109211	0.483232	0.498094	0.77109
9	0.552503	0.0198379	0.0465509	0.254157	0.00676824
10	0.0278372	0.113205	0.169199	0.0921137	0.00730991
11	0.0251375	0.0230644	0.417356	0.057564	0.0135241
12	0.0744484	0.0672294	0.0305285	0.454267	0.648149
13	0.0229619	0.0204615	0.0125152	0.331922	0.162831
14	0.109231	0.435792	0.155177	0.0588664	0.169723
15	0.0947543	0.438534	0.154678	0.061673	0.184811
16	0.0247193	0.021613	0.0103477	0.00989588	0.256714
17	0.0423555	0.234699	0.0856382	0.00927495	0.119581
18	0.0229289	0.133975	0.0670285	0.0417028	0.0492472
19	0.0247709	0.126296	0.0434146	0.00477868	0.0747049
