clusterID	sample0	sample1	sample2	sample3	sample4
0	1	1	0.991554	0.931881	0.935393
1	0.0270782	0.105713	0.49226	0.17756	0.0178914
2	0.105465	0.0116593	0.222176	0.0527159	0.00974167
3	0.799737	0.865706	0.123726	0.562451	0.848731
4	0.616706	0.806804	0.114959	0.438852	0.94946
5	0.0447975	0.782433	0.0126781	0.261889	0.0630708
6	0.0476703	0.0491338	0.0900436	0.161448	0.853477
7	0.059301	0.0349949	0.193445	0.182448	0.0745451
8	0.0155409	0.260852	0.00675878	0.0624381	0.053437
9	0.0333614	0.0242306	0.049328	0.10643	0.810689
10	0.0463506	0.0221041	0.193975	0.142713	0.0664228
11	0.0325369	0.0119472	0.15865	0.0808465	0.0389527
12	0.0134191	0.094576	0.217996	0.124289	0.00819731
13	0.0152744	0.0114073	0.00832668	0.0582189	0.470034
