mutID	sample0	sample1	sample2	sample3	sample4	clusterID
mut0	0.972228	0.997268	1	1	1	0
mut1	0.972228	0.997268	1	1	1	0
mut2	0.972228	0.997268	1	1	1	0
mut3	0.972228	0.997268	1	1	1	0
mut4	0.972228	0.997268	1	1	1	0
mut5	1	1	0.97768	1	1	1
mut6	1	1	0.97768	1	1	1
mut7	1	1	0.97768	1	1	1
mut8	1	1	0.97768	1	1	1
mut9	1	1	0.97768	1	1	1
mut10	0.923238	0.902532	0.184559	0.783904	0.500555	2
mut11	0.923238	0.902532	0.184559	0.783904	0.500555	2
mut12	0.923238	0.902532	0.184559	0.783904	0.500555	2
mut13	0.923238	0.902532	0.184559	0.783904	0.500555	2
mut14	0.923238	0.902532	0.184559	0.783904	0.500555	2
mut15	0.202471	0.184567	0.102776	0.101533	0.0403997	3
mut16	0.202471	0.184567	0.102776	0.101533	0.0403997	3
mut17	0.202471	0.184567	0.102776	0.101533	0.0403997	3
mut18	0.202471	0.184567	0.102776	0.101533	0.0403997	3
mut19	0.202471	0.184567	0.102776	0.101533	0.0403997	3
mut20	0.0908277	0.0638253	0.373902	0.182781	0.543412	4
mut21	0.0908277	0.0638253	0.373902	0.182781	0.543412	4
mut22	0.0908277	0.0638253	0.373902	0.182781	0.543412	4
mut23	0.0908277	0.0638253	0.373902	0.182781	0.543412	4
mut24	0.0908277	0.0638253	0.373902	0.182781	0.543412	4
mut25	0.0147988	0.0791681	0.0255384	0.057323	0.072835	5
mut26	0.0147988	0.0791681	0.0255384	0.057323	0.072835	5
mut27	0.0147988	0.0791681	0.0255384	0.057323	0.072835	5
mut28	0.0147988	0.0791681	0.0255384	0.057323	0.072835	5
mut29	0.0147988	0.0791681	0.0255384	0.057323	0.072835	5
mut30	0.0337012	0.0193512	0.199145	0.13204	0.361487	6
mut31	0.0337012	0.0193512	0.199145	0.13204	0.361487	6
mut32	0.0337012	0.0193512	0.199145	0.13204	0.361487	6
mut33	0.0337012	0.0193512	0.199145	0.13204	0.361487	6
mut34	0.0337012	0.0193512	0.199145	0.13204	0.361487	6
mut35	0.0474872	0.0924257	0.0461307	0.0393414	0.0244738	7
mut36	0.0474872	0.0924257	0.0461307	0.0393414	0.0244738	7
mut37	0.0474872	0.0924257	0.0461307	0.0393414	0.0244738	7
mut38	0.0474872	0.0924257	0.0461307	0.0393414	0.0244738	7
mut39	0.0474872	0.0924257	0.0461307	0.0393414	0.0244738	7
mut40	0.0150194	0.00919659	0.389868	0.0214151	0.00866143	8
mut41	0.0150194	0.00919659	0.389868	0.0214151	0.00866143	8
mut42	0.0150194	0.00919659	0.389868	0.0214151	0.00866143	8
mut43	0.0150194	0.00919659	0.389868	0.0214151	0.00866143	8
mut44	0.0150194	0.00919659	0.389868	0.0214151	0.00866143	8
mut45	0.0151967	0.00974221	0.173512	0.11354	0.106954	9
mut46	0.0151967	0.00974221	0.173512	0.11354	0.106954	9
mut47	0.0151967	0.00974221	0.173512	0.11354	0.106954	9
mut48	0.0151967	0.00974221	0.173512	0.11354	0.106954	9
mut49	0.0151967	0.00974221	0.173512	0.11354	0.106954	9
mut50	0.0317628	0.0398155	0.198074	0.0203536	0.0698444	10
mut51	0.0317628	0.0398155	0.198074	0.0203536	0.0698444	10
mut52	0.0317628	0.0398155	0.198074	0.0203536	0.0698444	10
mut53	0.0317628	0.0398155	0.198074	0.0203536	0.0698444	10
mut54	0.0317628	0.0398155	0.198074	0.0203536	0.0698444	10
mut55	0.348085	0.416996	0.0102362	0.0392444	0.0888327	11
mut56	0.348085	0.416996	0.0102362	0.0392444	0.0888327	11
mut57	0.348085	0.416996	0.0102362	0.0392444	0.0888327	11
mut58	0.348085	0.416996	0.0102362	0.0392444	0.0888327	11
mut59	0.348085	0.416996	0.0102362	0.0392444	0.0888327	11
mut60	0.211828	0.178966	0.0189864	0.07642	0.0743945	12
mut61	0.211828	0.178966	0.0189864	0.07642	0.0743945	12
mut62	0.211828	0.178966	0.0189864	0.07642	0.0743945	12
mut63	0.211828	0.178966	0.0189864	0.07642	0.0743945	12
mut64	0.211828	0.178966	0.0189864	0.07642	0.0743945	12
mut65	0.0191508	0.127608	0.00469758	0.0183864	0.0850885	13
mut66	0.0191508	0.127608	0.00469758	0.0183864	0.0850885	13
mut67	0.0191508	0.127608	0.00469758	0.0183864	0.0850885	13
mut68	0.0191508	0.127608	0.00469758	0.0183864	0.0850885	13
mut69	0.0191508	0.127608	0.00469758	0.0183864	0.0850885	13
mut70	0.0141821	0.094726	0.0157004	0.0598472	0.0652229	14
mut71	0.0141821	0.094726	0.0157004	0.0598472	0.0652229	14
mut72	0.0141821	0.094726	0.0157004	0.0598472	0.0652229	14
mut73	0.0141821	0.094726	0.0157004	0.0598472	0.0652229	14
mut74	0.0141821	0.094726	0.0157004	0.0598472	0.0652229	14
mut75	0.0337261	0.0178549	0.0105051	0.453217	0.170965	15
mut76	0.0337261	0.0178549	0.0105051	0.453217	0.170965	15
mut77	0.0337261	0.0178549	0.0105051	0.453217	0.170965	15
mut78	0.0337261	0.0178549	0.0105051	0.453217	0.170965	15
mut79	0.0337261	0.0178549	0.0105051	0.453217	0.170965	15
mut80	0.0175742	0.00960078	0.00445098	0.40831	0.0515307	16
mut81	0.0175742	0.00960078	0.00445098	0.40831	0.0515307	16
mut82	0.0175742	0.00960078	0.00445098	0.40831	0.0515307	16
mut83	0.0175742	0.00960078	0.00445098	0.40831	0.0515307	16
mut84	0.0175742	0.00960078	0.00445098	0.40831	0.0515307	16
mut85	0.127397	0.0536051	0.0502022	0.0380067	0.00902767	17
mut86	0.127397	0.0536051	0.0502022	0.0380067	0.00902767	17
mut87	0.127397	0.0536051	0.0502022	0.0380067	0.00902767	17
mut88	0.127397	0.0536051	0.0502022	0.0380067	0.00902767	17
mut89	0.127397	0.0536051	0.0502022	0.0380067	0.00902767	17
