clusterID	sample0	sample1	sample2	sample3	sample4
0	0.972228	0.997268	1	1	1
1	1	1	0.97768	1	1
2	0.923238	0.902532	0.184559	0.783904	0.500555
3	0.202471	0.184567	0.102776	0.101533	0.0403997
4	0.0908277	0.0638253	0.373902	0.182781	0.543412
5	0.0147988	0.0791681	0.0255384	0.057323	0.072835
6	0.0337012	0.0193512	0.199145	0.13204	0.361487
7	0.0474872	0.0924257	0.0461307	0.0393414	0.0244738
8	0.0150194	0.00919659	0.389868	0.0214151	0.00866143
9	0.0151967	0.00974221	0.173512	0.11354	0.106954
10	0.0317628	0.0398155	0.198074	0.0203536	0.0698444
11	0.348085	0.416996	0.0102362	0.0392444	0.0888327
12	0.211828	0.178966	0.0189864	0.07642	0.0743945
13	0.0191508	0.127608	0.00469758	0.0183864	0.0850885
14	0.0141821	0.094726	0.0157004	0.0598472	0.0652229
15	0.0337261	0.0178549	0.0105051	0.453217	0.170965
16	0.0175742	0.00960078	0.00445098	0.40831	0.0515307
17	0.127397	0.0536051	0.0502022	0.0380067	0.00902767
