clusterID	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
0	0.927875	1	0.932108	1	1	0.940322	0.911316	1	0.980442	0.943197
1	0.95593	0.836975	0.903737	1	0.843277	0.823821	0.849574	0.970121	0.531037	0.775006
2	0.838399	0.892633	0.819517	0.859892	0.808096	0.790051	0.844873	0.943493	0.249303	0.672064
3	0.819276	0.688967	0.818703	0.874755	0.827163	0.757781	0.647856	0.928732	0.175394	0.149992
4	0.249039	0.129335	0.459949	0.835569	0.0297803	0.158685	0.165554	0.0810437	0.0761257	0.0476608
5	0.510603	0.0219688	0.0512033	0.0110825	0.00602256	0.03207	0.0409059	0.0158948	0.0134959	0.00969961
6	0.0372268	0.595868	0.239468	0.0596694	0.813787	0.538437	0.481272	0.714718	0.0749155	0.0833986
7	0.0165081	0.0918157	0.145679	0.033681	0.134488	0.431003	0.167501	0.0439767	0.0397347	0.0697068
8	0.0837504	0.022567	0.0300783	0.010663	0.0673075	0.0461476	0.0528341	0.0332138	0.258948	0.143119
9	0.0949235	0.0756285	0.119024	0.665145	0.0174605	0.0946824	0.116818	0.0461588	0.0484665	0.0271848
10	0.0765663	0.0243281	0.0618417	0.013008	0.00551725	0.0247752	0.0408996	0.0161428	0.0253162	0.00988323
11	0.00582247	0.0249874	0.0255961	0.67654	0.00616278	0.0335872	0.038336	0.0154775	0.0135203	0.00906729
12	0.00496072	0.0421422	0.0324018	0.0100813	0.612881	0.0249099	0.0400825	0.0533087	0.0115738	0.00805443
13	0.11768	0.0245855	0.246709	0.0777427	0.00679698	0.0279104	0.0357133	0.0163822	0.0138887	0.00844116
14	0.0048639	0.0245016	0.0259431	0.0121583	0.0127764	0.0311806	0.18591	0.0250686	0.0130612	0.0105025
15	0.00540122	0.0245397	0.0284697	0.0101831	0.00668998	0.0276994	0.0747127	0.017521	0.0144794	0.261467
16	0.00619392	0.0274713	0.0821704	0.011234	0.0758827	0.0406522	0.0674987	0.0157084	0.0175558	0.033491
17	0.0749634	0.0728595	0.0642177	0.032261	0.0785847	0.0668747	0.0295583	0.0312545	0.469737	0.158634
18	0.00610044	0.0456053	0.0322912	0.0107036	0.00653428	0.0421499	0.0489542	0.0125308	0.0143845	0.191631
19	0.0058331	0.0434611	0.0466233	0.011964	0.0685772	0.0939854	0.0674407	0.0142449	0.0127773	0.0240027
