clusterID	sample0	sample1	sample2	sample3	sample4
0	1	1	0.969537	1	0.939661
1	0.671056	0.119545	0.876694	0.592446	0.63476
2	0.105534	0.0747048	0.00976796	0.0267322	0.144137
3	0.00690616	0.231108	0.0120047	0.0232587	0.1897
4	0.60051	0.0368332	0.822037	0.514504	0.519976
5	0.224764	0.0314859	0.840919	0.522585	0.548347
6	0.0311757	0.0208095	0.788877	0.126943	0.363834
7	0.0200448	0.0147256	0.747594	0.0957187	0.259745
8	0.245783	0.59073	0.15094	0.348683	0.0890448
9	0.246371	0.572958	0.15822	0.29097	0.097063
10	0.014526	0.200897	0.0251212	0.160701	0.020919
11	0.00627834	0.00511544	0.358739	0.0230365	0.00532628
12	0.00667951	0.110329	0.0112434	0.132609	0.0139101
13	0.00595544	0.00516181	0.240557	0.0407195	0.00507953
14	0.156743	0.25582	0.102722	0.0475643	0.0305286
15	0.071955	0.12321	0.0110282	0.0926099	0.0373447
16	0.0159618	0.00990046	0.0221482	0.356972	0.150832
17	0.00734337	0.00527571	0.0128775	0.213632	0.154798
18	0.102035	0.12958	0.0669109	0.0250297	0.0243523
