clusterID	sample0	sample1	sample2	sample3	sample4
0	1	0.908328	1	0.947978	1
1	1	0.97533	1	0.918814	0.892734
2	0.176914	0.0310833	0.0535535	0.0168517	0.0493544
3	0.622098	0.243275	0.0811179	0.874178	0.028109
4	0.0947506	0.606963	0.794278	0.142001	0.88111
5	0.0938347	0.657291	0.67237	0.129464	0.863748
6	0.0153065	0.406985	0.0427538	0.046957	0.460246
7	0.0433695	0.101625	0.221694	0.0452218	0.380926
8	0.0151723	0.0393314	0.403319	0.0171981	0.0121596
9	0.0294708	0.0762345	0.167941	0.0316476	0.261564
10	0.249086	0.177167	0.0359116	0.823632	0.0143536
11	0.0148942	0.0311674	0.0727003	0.0156061	0.08359
