clusterID	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
0	1	1	1	1	1	1	1	1	1	1
1	0.092856	0.00554535	0.00708742	0.00783684	0.0074765	0.0251726	0.845866	0.0106619	0.0126346	0.0103297
2	0.458039	0.988556	0.984455	0.982894	0.984826	0.946475	0.146448	0.977988	0.973676	0.977322
3	0.390444	0.977562	0.967784	0.956265	0.967974	0.821078	0.0511941	0.937203	0.948468	0.948829
4	0.129065	0.958902	0.83599	0.0301938	0.0246994	0.0793748	0.0262296	0.905509	0.886771	0.032623
5	0.0357172	0.686951	0.0336919	0.00899473	0.00796295	0.0270075	0.00815313	0.380138	0.0191921	0.0112424
6	0.0348101	0.132465	0.637691	0.0106686	0.00793739	0.0278911	0.00893965	0.197061	0.790424	0.0106161
7	0.0345577	0.00660777	0.100502	0.541248	0.0530328	0.141997	0.00815428	0.0112942	0.037806	0.525754
8	0.0341633	0.00560875	0.0118431	0.188898	0.881368	0.525292	0.00881257	0.0103696	0.0121954	0.163527
9	0.0312498	0.00564704	0.00821765	0.0122796	0.00830976	0.0896471	0.0870578	0.0300098	0.013776	0.0120065
