clusterID	sample0	sample1	sample2	sample3	sample4
0	1	1	0.965312	0.964132	0.99859
1	0.0160872	0.368794	0.0584461	0.161116	0.129189
2	0.297295	0.0303179	0.019095	0.0598234	0.128772
3	0.233136	0.0239022	0.00877228	0.0317972	0.093227
4	0.482818	0.447156	0.681492	0.144854	0.0562892
5	0.231496	0.25331	0.0238092	0.0367061	0.0183322
6	0.195668	0.172843	0.200551	0.597596	0.634344
7	0.207777	0.0327155	0.69426	0.0666088	0.0168731
8	0.178534	0.178589	0.219289	0.528623	0.660516
9	0.121941	0.0447377	0.0696861	0.454903	0.348451
10	0.0084846	0.00527599	0.00997153	0.319591	0.172553
11	0.0968855	0.0351544	0.0424179	0.0526402	0.136664
12	0.0702612	0.0245725	0.0369486	0.025744	0.0934507
13	0.0437238	0.121941	0.134122	0.0971863	0.233736
14	0.0315777	0.0552351	0.0346992	0.0432137	0.105356
15	0.00807674	0.0581868	0.0882899	0.0238163	0.112256
16	0.00792175	0.256558	0.0532082	0.113371	0.0991823
