mutID	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	clusterID
mut0	1	1	1	1	1	1	1	1	1	1	0
mut1	1	1	1	1	1	1	1	1	1	1	0
mut2	1	1	1	1	1	1	1	1	1	1	0
mut3	1	1	1	1	1	1	1	1	1	1	0
mut4	1	1	1	1	1	1	1	1	1	1	0
mut5	0.727026	0.0814124	0.67717	0.0825585	0.609384	0.115206	0.775204	0.0628225	0.72931	0.0461981	1
mut6	0.727026	0.0814124	0.67717	0.0825585	0.609384	0.115206	0.775204	0.0628225	0.72931	0.0461981	1
mut7	0.727026	0.0814124	0.67717	0.0825585	0.609384	0.115206	0.775204	0.0628225	0.72931	0.0461981	1
mut8	0.727026	0.0814124	0.67717	0.0825585	0.609384	0.115206	0.775204	0.0628225	0.72931	0.0461981	1
mut9	0.727026	0.0814124	0.67717	0.0825585	0.609384	0.115206	0.775204	0.0628225	0.72931	0.0461981	1
mut10	0.14484	0.90062	0.180266	0.906245	0.364235	0.859786	0.0986281	0.929393	0.134115	0.944864	2
mut11	0.14484	0.90062	0.180266	0.906245	0.364235	0.859786	0.0986281	0.929393	0.134115	0.944864	2
mut12	0.14484	0.90062	0.180266	0.906245	0.364235	0.859786	0.0986281	0.929393	0.134115	0.944864	2
mut13	0.14484	0.90062	0.180266	0.906245	0.364235	0.859786	0.0986281	0.929393	0.134115	0.944864	2
mut14	0.14484	0.90062	0.180266	0.906245	0.364235	0.859786	0.0986281	0.929393	0.134115	0.944864	2
mut15	0.0381103	0.496206	0.0430539	0.440842	0.147139	0.400322	0.0125116	0.585823	0.0203441	0.653847	3
mut16	0.0381103	0.496206	0.0430539	0.440842	0.147139	0.400322	0.0125116	0.585823	0.0203441	0.653847	3
mut17	0.0381103	0.496206	0.0430539	0.440842	0.147139	0.400322	0.0125116	0.585823	0.0203441	0.653847	3
mut18	0.0381103	0.496206	0.0430539	0.440842	0.147139	0.400322	0.0125116	0.585823	0.0203441	0.653847	3
mut19	0.0381103	0.496206	0.0430539	0.440842	0.147139	0.400322	0.0125116	0.585823	0.0203441	0.653847	3
