clusterID	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14
0	0.999194	1	0.931282	1	1	1	0.983342	0.926416	0.900424	1	1	0.933373	1	0.91906	1
1	0.0971346	0.059141	0.0304007	0.0452221	0.0729696	0.118622	0.179626	0.0440824	0.0803223	0.0235905	0.101269	0.0158698	0.21146	0.688238	0.117633
2	0.945422	0.832992	0.941975	0.953539	0.94997	0.877595	0.791074	0.895096	0.828199	0.950608	0.832696	0.885114	0.778534	0.28482	0.850725
3	0.681693	0.809449	0.949118	0.858432	0.738644	0.707381	0.521518	0.861243	0.753918	0.938526	0.629783	0.951051	0.0595759	0.252345	0.654401
4	0.207063	0.0205952	0.0100903	0.0130166	0.0212342	0.0389443	0.0562262	0.0502753	0.0214435	0.00707542	0.0305745	0.00525425	0.00656907	0.176537	0.1453
5	0.459818	0.733618	0.827095	0.877768	0.767709	0.650526	0.415956	0.16651	0.710041	0.977542	0.597406	0.892756	0.0481503	0.0395586	0.540978
6	0.437797	0.695095	0.957821	0.0777028	0.232268	0.192869	0.270913	0.0925903	0.736189	0.987545	0.150349	0.145676	0.0300737	0.0299794	0.434591
7	0.139861	0.714447	0.788372	0.0547451	0.143224	0.143302	0.224596	0.0660929	0.668775	0.820456	0.124971	0.0469403	0.0230465	0.0199584	0.184507
8	0.0985528	0.677948	0.83413	0.0396016	0.081067	0.110474	0.189289	0.0414176	0.652454	0.480936	0.100198	0.0174053	0.0185109	0.0143403	0.108189
9	0.0293598	0.0191002	0.0573696	0.013959	0.0252653	0.0406898	0.0574627	0.0130405	0.3408	0.00781305	0.0339181	0.00512298	0.0061174	0.00509053	0.0403854
10	0.0701617	0.039415	0.0198811	0.0289775	0.051055	0.089244	0.118622	0.0317969	0.0563172	0.0159923	0.165493	0.014696	0.267451	0.0102564	0.0742954
11	0.0725049	0.0391603	0.0222469	0.0315446	0.0522311	0.0835947	0.123709	0.0327952	0.0518887	0.0143095	0.0654147	0.0100773	0.147383	0.510544	0.070276
12	0.0348368	0.0225849	0.640023	0.0157414	0.0256371	0.0449096	0.0576621	0.0137969	0.130174	0.00864018	0.0366925	0.00602652	0.00624706	0.00550073	0.0364873
13	0.0299947	0.0222967	0.00973782	0.0177538	0.0278156	0.0599292	0.0542351	0.0129214	0.0248495	0.00718046	0.112868	0.00845633	0.0943489	0.00508939	0.0341848
14	0.034584	0.0187269	0.0109607	0.814737	0.443535	0.393402	0.0670043	0.0160254	0.0298155	0.00641481	0.0676046	0.496892	0.00727043	0.00481584	0.0399272
15	0.033488	0.0204701	0.00932487	0.015494	0.0298741	0.0372572	0.0611849	0.0135113	0.0286646	0.00809638	0.0324192	0.00549121	0.458955	0.00475249	0.0381471
16	0.0374988	0.0215673	0.011704	0.0174146	0.0300489	0.0431869	0.0680849	0.0143942	0.0307051	0.00723407	0.0400905	0.00521069	0.0739774	0.29888	0.0361747
