clusterID	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
0	0.921532	1	1	1	1	0.930068	0.908396	0.969888	0.936286	1
1	0.0504486	0.0520468	0.0146131	0.0291342	0.0810838	0.0965641	0.603537	0.0402112	0.0815415	0.103661
2	1	0.937375	1	0.991814	0.871558	0.799094	0.378374	0.908634	0.961937	0.8113
3	0.812449	0.866185	0.326913	0.977429	0.379022	0.79395	0.274305	0.888207	0.860913	0.761898
4	0.825361	0.170961	0.328239	0.856845	0.220015	0.706583	0.230869	0.843323	0.243289	0.277102
5	0.774567	0.117816	0.285676	0.927546	0.192518	0.620626	0.153337	0.849024	0.214244	0.254172
6	0.0916037	0.080297	0.319247	0.799892	0.153974	0.579309	0.113453	0.15407	0.13789	0.203515
7	0.494704	0.0190687	0.00413494	0.00986907	0.0231015	0.0328854	0.0215104	0.64258	0.0343507	0.0371604
8	0.0451646	0.589535	0.0295614	0.00905007	0.153226	0.0315954	0.0246956	0.0124447	0.552449	0.141548
9	0.030968	0.0321177	0.00904792	0.0189703	0.0572564	0.0688923	0.64577	0.0254859	0.0522019	0.0684266
10	0.0173412	0.0172118	0.329781	0.0116821	0.340885	0.0360481	0.0191371	0.0127068	0.0271048	0.0650187
11	0.0347324	0.0358612	0.155506	0.571483	0.0577438	0.14379	0.046603	0.0301601	0.0496169	0.0763156
12	0.0158759	0.0171327	0.146703	0.190857	0.0261156	0.0331382	0.021646	0.0152784	0.0273547	0.032991
13	0.0158439	0.0165309	0.346347	0.00897414	0.147511	0.0491304	0.0376734	0.0116282	0.0274994	0.042212
14	0.0308178	0.0347939	0.135853	0.238554	0.0746366	0.222232	0.0396713	0.0865496	0.0533307	0.073522
15	0.0180199	0.0179149	0.156128	0.0832539	0.0432346	0.0313991	0.0209231	0.014265	0.027161	0.0391915
16	0.0154833	0.0188051	0.00421137	0.0106417	0.0294964	0.0288356	0.495772	0.0115674	0.0238491	0.0331941
