mutID	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	clusterID
mut0	1	1	1	1	1	1	1	1	1	1	0
mut1	1	1	1	1	1	1	1	1	1	1	0
mut2	1	1	1	1	1	1	1	1	1	1	0
mut3	1	1	1	1	1	1	1	1	1	1	0
mut4	1	1	1	1	1	1	1	1	1	1	0
mut5	0.303706	0.00499563	0.0128499	0.0990066	0.0312694	0.26501	0.00499967	0.00769352	0.00893363	0.0220089	1
mut6	0.303706	0.00499563	0.0128499	0.0990066	0.0312694	0.26501	0.00499967	0.00769352	0.00893363	0.0220089	1
mut7	0.303706	0.00499563	0.0128499	0.0990066	0.0312694	0.26501	0.00499967	0.00769352	0.00893363	0.0220089	1
mut8	0.303706	0.00499563	0.0128499	0.0990066	0.0312694	0.26501	0.00499967	0.00769352	0.00893363	0.0220089	1
mut9	0.303706	0.00499563	0.0128499	0.0990066	0.0312694	0.26501	0.00499967	0.00769352	0.00893363	0.0220089	1
mut10	0.618951	0.0129822	0.0308201	0.867835	0.0117616	0.63905	0.0265435	0.0157173	0.874258	0.0422103	2
mut11	0.618951	0.0129822	0.0308201	0.867835	0.0117616	0.63905	0.0265435	0.0157173	0.874258	0.0422103	2
mut12	0.618951	0.0129822	0.0308201	0.867835	0.0117616	0.63905	0.0265435	0.0157173	0.874258	0.0422103	2
mut13	0.618951	0.0129822	0.0308201	0.867835	0.0117616	0.63905	0.0265435	0.0157173	0.874258	0.0422103	2
mut14	0.618951	0.0129822	0.0308201	0.867835	0.0117616	0.63905	0.0265435	0.0157173	0.874258	0.0422103	2
mut15	0.04592	0.939848	0.929186	0.0228431	0.123634	0.0626003	0.955658	0.877265	0.106792	0.820006	3
mut16	0.04592	0.939848	0.929186	0.0228431	0.123634	0.0626003	0.955658	0.877265	0.106792	0.820006	3
mut17	0.04592	0.939848	0.929186	0.0228431	0.123634	0.0626003	0.955658	0.877265	0.106792	0.820006	3
mut18	0.04592	0.939848	0.929186	0.0228431	0.123634	0.0626003	0.955658	0.877265	0.106792	0.820006	3
mut19	0.04592	0.939848	0.929186	0.0228431	0.123634	0.0626003	0.955658	0.877265	0.106792	0.820006	3
mut20	0.0152221	0.277376	0.408258	0.0128714	0.00760078	0.0403493	0.575784	0.0212027	0.0929935	0.0218425	4
mut21	0.0152221	0.277376	0.408258	0.0128714	0.00760078	0.0403493	0.575784	0.0212027	0.0929935	0.0218425	4
mut22	0.0152221	0.277376	0.408258	0.0128714	0.00760078	0.0403493	0.575784	0.0212027	0.0929935	0.0218425	4
mut23	0.0152221	0.277376	0.408258	0.0128714	0.00760078	0.0403493	0.575784	0.0212027	0.0929935	0.0218425	4
mut24	0.0152221	0.277376	0.408258	0.0128714	0.00760078	0.0403493	0.575784	0.0212027	0.0929935	0.0218425	4
mut25	0.0149443	0.208368	0.430937	0.00498585	0.0829757	0.00820723	0.187157	0.674551	0.00582024	0.0672143	5
mut26	0.0149443	0.208368	0.430937	0.00498585	0.0829757	0.00820723	0.187157	0.674551	0.00582024	0.0672143	5
mut27	0.0149443	0.208368	0.430937	0.00498585	0.0829757	0.00820723	0.187157	0.674551	0.00582024	0.0672143	5
mut28	0.0149443	0.208368	0.430937	0.00498585	0.0829757	0.00820723	0.187157	0.674551	0.00582024	0.0672143	5
mut29	0.0149443	0.208368	0.430937	0.00498585	0.0829757	0.00820723	0.187157	0.674551	0.00582024	0.0672143	5
mut30	0.147605	0.00702452	0.0165582	0.506445	0.00607155	0.224762	0.0181313	0.00808386	0.713124	0.0208418	6
mut31	0.147605	0.00702452	0.0165582	0.506445	0.00607155	0.224762	0.0181313	0.00808386	0.713124	0.0208418	6
mut32	0.147605	0.00702452	0.0165582	0.506445	0.00607155	0.224762	0.0181313	0.00808386	0.713124	0.0208418	6
mut33	0.147605	0.00702452	0.0165582	0.506445	0.00607155	0.224762	0.0181313	0.00808386	0.713124	0.0208418	6
mut34	0.147605	0.00702452	0.0165582	0.506445	0.00607155	0.224762	0.0181313	0.00808386	0.713124	0.0208418	6
mut35	0.0160801	0.0292051	0.0147431	0.00498585	0.827406	0.00821982	0.00657874	0.0920296	0.00499714	0.0951178	7
mut36	0.0160801	0.0292051	0.0147431	0.00498585	0.827406	0.00821982	0.00657874	0.0920296	0.00499714	0.0951178	7
mut37	0.0160801	0.0292051	0.0147431	0.00498585	0.827406	0.00821982	0.00657874	0.0920296	0.00499714	0.0951178	7
mut38	0.0160801	0.0292051	0.0147431	0.00498585	0.827406	0.00821982	0.00657874	0.0920296	0.00499714	0.0951178	7
mut39	0.0160801	0.0292051	0.0147431	0.00498585	0.827406	0.00821982	0.00657874	0.0920296	0.00499714	0.0951178	7
