clusterID	sample0	sample1	sample2	sample3	sample4
0	1	0.976912	0.934633	1	0.932541
1	1	1	1	0.967599	1
2	1	0.966545	0.955549	1	0.973819
3	1	1	0.860767	0.936748	0.955644
4	0.678982	0.0350224	0.0212246	0.033573	0.0165972
5	0.086548	0.816586	0.045813	0.06371	0.0395308
6	0.0185208	0.500099	0.0232708	0.03632	0.0189703
7	0.0874244	0.0898467	0.657744	0.652253	0.801296
8	0.167459	0.0606698	0.103286	0.0670244	0.0389504
9	0.106448	0.0280306	0.0713403	0.0297939	0.0185878
10	0.0182555	0.0588892	0.242017	0.610761	0.664804
11	0.0542959	0.0199221	0.264767	0.063517	0.176371
12	0.00444671	0.030319	0.0249131	0.112195	0.016389
13	0.00475521	0.00955014	0.0325369	0.25645	0.150985
14	0.0549594	0.00968585	0.0588809	0.0339463	0.102176
15	0.00494819	0.0122024	0.100312	0.0624915	0.363767
