clusterID	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14
0	1	1	1	1	1	1	1	0.938251	0.919586	0.921695	0.998832	1	1	1	1
1	0.6416	0.0898454	0.0588275	0.890541	0.856583	0.103931	0.0795641	0.930214	0.354866	0.0298026	0.0525174	0.961722	0.102137	0.0629454	0.0484087
2	0.58189	0.0715804	0.0436151	0.794108	0.732745	0.0912504	0.0686868	0.935214	0.389604	0.0217659	0.0391915	0.916971	0.0869395	0.0484731	0.0363057
3	0.498246	0.0500053	0.0348588	0.801941	0.801709	0.0685146	0.0494911	0.852984	0.269175	0.0173696	0.0279438	0.90858	0.0425344	0.0373846	0.0261435
4	0.28948	0.531573	0.896567	0.0887637	0.178436	0.541545	0.847313	0.0665476	0.618971	0.238073	0.917351	0.0738062	0.899546	0.875965	0.999869
5	0.148998	0.0252396	0.00991362	0.0202054	0.0967162	0.0218378	0.0155638	0.0138402	0.44132	0.0103049	0.0118031	0.0146162	0.645555	0.0404294	0.00952266
6	0.12413	0.378366	0.877951	0.0564299	0.069889	0.521074	0.87397	0.0395893	0.110757	0.103726	0.857651	0.0420456	0.215008	0.813312	0.8294
7	0.0826259	0.033745	0.0223775	0.733366	0.308072	0.0453821	0.0328014	0.773815	0.0487944	0.0114668	0.0199425	0.771764	0.0121748	0.0237869	0.0171181
8	0.0490278	0.318236	0.0114661	0.0183786	0.0130215	0.346241	0.019386	0.0123251	0.00879002	0.623821	0.00951769	0.0152212	0.00627287	0.0190888	0.00941952
9	0.0815818	0.0415364	0.970327	0.0330982	0.0615801	0.0559661	0.800448	0.0268874	0.0705933	0.0139198	0.894881	0.0277463	0.094805	0.110627	0.867291
10	0.0379292	0.0218997	0.805072	0.0181615	0.0235831	0.0247077	0.827701	0.0165226	0.0153623	0.00540584	0.328965	0.0149444	0.00878001	0.0113327	0.45768
11	0.0392235	0.0188269	0.0108856	0.306227	0.0221967	0.019042	0.0155901	0.334138	0.00948127	0.00592367	0.0104717	0.698216	0.00525688	0.0128025	0.0080242
