clusterID	sample0	sample1	sample2	sample3	sample4
0	0.948293	1	0.900927	1	1
1	0.00901005	0.0421022	0.420616	0.0269243	0.0257586
2	0.978101	0.735117	0.375159	0.27645	0.0840655
3	0.57038	0.74145	0.37816	0.0492307	0.0467471
4	0.574168	0.647131	0.24642	0.0363843	0.0350112
5	0.269516	0.0414981	0.026108	0.188212	0.0225866
6	0.15651	0.0211802	0.0486139	0.010181	0.0133089
7	0.20571	0.644502	0.0155106	0.0114004	0.0126549
8	0.00476738	0.0211477	0.448261	0.013725	0.0137787
9	0.0681967	0.17513	0.105879	0.715405	0.920313
10	0.0624563	0.128478	0.0862176	0.756996	0.945998
11	0.0229126	0.102724	0.0625954	0.36571	0.888191
12	0.0406884	0.0196409	0.0140254	0.268014	0.0126197
13	0.0180017	0.0851597	0.0505445	0.0664864	0.747083
14	0.0151935	0.0608004	0.0350914	0.0331298	0.848833
15	0.00928652	0.0387886	0.0244835	0.0226812	0.672869
16	0.00448755	0.0213182	0.0126623	0.0118284	0.144635
17	0.191159	0.0220654	0.0155653	0.123247	0.0117261
