clusterID	sample0	sample1	sample2	sample3	sample4
0	0.918774	1	1	0.912884	0.943191
1	0.320828	0.0278893	0.00532171	0.0203924	0.0348136
2	0.405714	0.0139927	0.522033	0.0540479	0.122463
3	0.315858	0.0103448	0.550451	0.0429244	0.0918626
4	0.2661	0.872712	0.231613	0.902613	0.752886
5	0.170539	0.780605	0.0727691	0.88571	0.574703
6	0.12503	0.177521	0.0629338	0.645956	0.200184
7	0.0191137	0.221832	0.00493572	0.0804983	0.254088
8	0.0199712	0.00462682	0.263449	0.0194452	0.0372783
9	0.0192241	0.0301419	0.0318465	0.0869563	0.0499771
10	0.097691	0.0632875	0.0246318	0.35457	0.144188
11	0.0574178	0.0537596	0.139337	0.042367	0.136063
12	0.0389014	0.0320119	0.0900056	0.0217597	0.10858
13	0.0675991	0.048247	0.0218224	0.0518816	0.0611605
14	0.0194319	0.046836	0.22974	0.0217394	0.0820546
