clusterID	sample0	sample1	sample2	sample3	sample4
0	0.982921	1	1	1	0.998028
1	0.0614656	0.112355	0.0387639	0.0106705	0.0871165
2	0.434561	0.687075	0.718565	0.397497	0.0716476
3	0.137063	0.365119	0.0675185	0.0344024	0.0139493
4	0.073848	0.33133	0.0433652	0.0259032	0.0105744
5	0.0326733	0.335802	0.601893	0.317553	0.050137
6	0.0723028	0.254145	0.0205016	0.0113826	0.00544765
7	0.00938171	0.2789	0.627037	0.342668	0.0340109
8	0.0468929	0.129718	0.140859	0.478986	0.376657
9	0.00499929	0.227165	0.439266	0.0973435	0.00690371
10	0.0093298	0.0218352	0.113316	0.493889	0.246495
11	0.271694	0.0323775	0.0996416	0.0745783	0.37543
12	0.217363	0.0242201	0.0842881	0.072026	0.296581
13	0.185398	0.0169158	0.0717798	0.0585033	0.19323
14	0.00526231	0.0130249	0.090541	0.405569	0.1487
15	0.0299568	0.103879	0.0183746	0.0113703	0.112388
16	0.113543	0.00885147	0.0539735	0.0504597	0.117166
17	0.195337	0.0533297	0.0148082	0.0289865	0.120684
