clusterID	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
0	1	0.930805	1	0.970609	1	1	0.961129	1	0.958075	0.985781
1	0.965831	0.938359	1	0.987075	1	1	0.969149	1	1	0.924141
2	0.995793	0.0780518	0.0852034	0.425963	0.908874	0.227849	0.0364328	0.85858	1	0.512332
3	0.725853	0.0356053	0.0434843	0.0364803	0.828483	0.0203053	0.0140549	0.041354	0.679904	0.0473093
4	0.669976	0.0262386	0.0318226	0.0227038	0.857203	0.0145343	0.0106791	0.0256838	0.734389	0.0318324
5	0.272441	0.0128292	0.0139116	0.0121277	0.49701	0.00667429	0.00471721	0.0115835	0.244227	0.0124306
6	0.0280659	0.874047	0.39288	0.555901	0.0263327	0.799434	0.307422	0.108555	0.01386	0.416279
7	0.260425	0.0288173	0.0291108	0.375011	0.0653802	0.178077	0.0163923	0.852714	0.210663	0.477735
8	0.013102	0.610855	0.192151	0.421257	0.014843	0.681526	0.118956	0.0860939	0.00716192	0.448942
9	0.0108443	0.0379039	0.538949	0.0159432	0.011414	0.00910073	0.612981	0.0114487	0.00572579	0.0140752
10	0.223379	0.0127515	0.0138336	0.065184	0.0567338	0.0678346	0.0061614	0.476549	0.179139	0.305081
