clusterID	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
0	0.915521	1	1	1	1	0.981437	1	1	0.963633	1
1	0.741648	0.146429	0.0700938	0.177534	0.120701	0.0562482	0.247144	0.569282	0.0409881	0.0697958
2	0.412206	0.0323126	0.0180688	0.0552621	0.027004	0.0131365	0.0486334	0.425489	0.00883463	0.0152524
3	0.22905	0.703467	0.879759	0.67322	0.656745	0.862873	0.629381	0.0566355	0.915783	0.954038
4	0.212732	0.80215	0.82125	0.587864	0.632155	0.833138	0.511585	0.0550898	0.941848	0.896752
5	0.167331	0.641216	0.920652	0.618317	0.38528	0.949858	0.517087	0.0451431	0.861542	0.914033
6	0.089334	0.541886	0.072791	0.194467	0.114397	0.0567235	0.27057	0.0222012	0.878948	0.507552
7	0.0216552	0.248174	0.0198191	0.0573831	0.0318527	0.0126134	0.0672709	0.00659107	0.222622	0.0216288
8	0.313735	0.0768068	0.0367094	0.099051	0.0618808	0.0294826	0.133083	0.143945	0.0194846	0.0385103
9	0.0499215	0.0640717	0.0348844	0.110576	0.0560077	0.0277524	0.114941	0.0112089	0.533084	0.475365
10	0.0458364	0.0548215	0.0380346	0.0965806	0.216065	0.0270346	0.10483	0.327861	0.0194663	0.0371126
11	0.0254582	0.0348224	0.0171191	0.0552652	0.0257474	0.0139829	0.0631413	0.00518648	0.0622707	0.120871
12	0.047047	0.0618286	0.673344	0.102522	0.05765	0.331635	0.107172	0.0111183	0.0430545	0.248473
13	0.0227977	0.0311448	0.0776762	0.229801	0.0355173	0.303715	0.0530689	0.00557739	0.0106535	0.0178473
14	0.0203313	0.0283235	0.0192002	0.0588575	0.178296	0.0154903	0.0507565	0.167109	0.0103351	0.0188119
15	0.0235483	0.0302152	0.126927	0.0550143	0.0266749	0.0382871	0.0463069	0.00514566	0.0293293	0.199818
16	0.190278	0.036857	0.0166449	0.0496549	0.0294412	0.0141768	0.0734142	0.108831	0.010103	0.0176224
